card,english,german
a1,normal distribution,Normalverteilung
a2,hysteresis remanence,Hysterese Remanenz
a3,military rank,militärischer Rang
a4,batch achievement,batch achievement
a5,access based enumeration (ABE),Zugriffsbasierte Auflistung
a6,object oriented programming (oop) class,objekt orientierter ansatz klasse
a7,design pattern,designpattern
a8,observer pattern,Beobachter Entwurfsmuster
a9,[pattern|face] recognition,Gesichtserkennung
a10,public class object,öffentliche Klasse Objekt
a11,artificial intelligence (AI),Künstliche Intelligenz (KI)
a12,system theory,Systemtheorie
a13,hierarchy,Hierarchie
a14,EZAK IMAK - hun in the sun,KamiKaze - Hunne in der Sonne
a15,reversibility - bijectivity,Umkehrbarkeit - Bijektivität
a16,suicide death bot,Suizid induzierende Software
a16b,suicide death bot - spinal cord,"Suizid" induzierende Software über Rückenmarksimplantat
a17,procastrinate when 80% done,prokrastinieren when 80% der Arbeit erledigt
a18,access based enumeration (ABE) part 2,Zugriffsbasierte Auflistung Teil 2
a19,psychological profile from eye movement,Psychologie Profil an Hand der Augenbewegungen
a20,language level detecxtion (nasty filter rule),sprachniveau erkennung (filter regel)
a21,F=T∇S𝜏  Equation for intelligence,F=T∇S𝜏 Formel für Intelligenz
a22,Efficiency detection
