card,english,german
a1,normal distribution,Normalverteilung
a2,hysteresis remanence,Hysterese Remanenz
a3,military rank,militärischer Rang
a4,batch achievement,batch achievement
a5,access based enumeration (ABE),Zugriffsbasierte Auflistung
a6,object oriented programming (oop) class,objekt orientierter ansatz klasse
a7,design pattern,designpattern
a8,observer pattern,Beobachter Entwurfsmuster
a9,[pattern|face] recognition,Gesichtserkennung
a10,public class object,öffentliche Klasse Objekt
a11,artificial intelligence (AI),Künstliche Intelligenz (KI)
a12,system theory,Systemtheorie
a13,hierarchy,Hierarchie
a14,EZAK IMAK - hun in the sun,KamiKaze - Hunne in der Sonne
a15,reversibility - bijectivity,Umkehrbarkeit - Bijektivität
a16,suicide death bot,Suizid induzierende Software
a16b,suicide death bot - spinal cord,"Suizid" über Rückenmarksimplantat
a17,procastrinate when 80% done,prokrastinieren when 80% der Arbeit erledigt
a18,access based enumeration (ABE) part 2,Zugriffsbasierte Auflistung Teil 2
a19,psychological profile from eye movement,Psychologie Profil von Augenbewegungen
a20,language level detecxtion (nasty filter rule),sprachniveau erkennung (filter regel)
a21,F=T∇S𝜏  Equation for intelligence,F=T∇S𝜏 Formel für Intelligenz
a22,efficiency detection,Effizienzerkennung
a23,(inverse) cinematics,(Invers-)Kinematik
a24,cognitive dissonance detection,Kognitive Dissonanz Erkennung
at1,Assassin,Attentäter
b1,amygdala,Amygdala
b2,Pituitary gland or hypophysis,Glandula pituitaria oder Hypophyse
b3,nucleus accumbens,Nucleus accumbens
b4,EEG / flash short term memory / qFire?,EEG / gehirn blitz weg dings / qFire?
bio1,phylogenetic tree,Phylogenetischer Baum
bo1,induced burnout,induziertes Burnout
c1,beer,Bier
c2,weed / canabis,Gras Haschisch Hanf
c64,c64 Ultimate Talk,c64 Ultimate Talk
co1,state [diagram|machine],Zustandsdiagramm / Endlicher Automat
co2,rawhammer attack of the mind,Rawhammer Attacke für die Psyche
co3,carnivore,Carnivore
co4,piracy & relicensing,Raubkopieren & Nachlizenzieren
co5,how they >try< to delete the brain,wie sie versuchen das gehirn zu löschen
co6,induced rage,induzierte Wut
co7,social network graphs,Sozio-Netzwerk Graphen
co8,eStim,Elektrostimulation
co9,driving whistlebloers away from ISPs,Whistleblower vom Netz wegtreiben
co10,pre rendered destruction (als m98),vorausgerenderte Zerstörung
co11,brain implants info deffence statemachine,xxxxxxxx
co12,behavioral science stealth mode cam,Verhaltenswissenschaftlich getarnte Kamera
cpu1,INTEL Management Engine,INTEL Management Engine
dc1,joker card,Joker Karte
dc2,how to intimidate a complete group (ma4),wie man eine Gruppe einschüchtert (ma4)
dc3,cheap food,billiges essen
dc4,military people at technoparties,Militär an Technoparties
dc5,we should change that,wir sollten das ändern
dc6,Matrix "Architect",Matrix "Architekt"
dc7,vintage computing,alte Computer
dc8,1950s design psychology,1950er Gestaltungspsychologie
dc9,aledged domain model switzerland,mutmassliche Baupläne Schweiz
dc10,crypto beginners toolkit,Verschlüsselungs Anfänger Baukasten
dp1,access based enumeration (ABE),Zugriffsbasierte Auflistung
dp2,class,Klasse
dp3,design patterns,Entwurfsmuster
dp4,observer pattern,Beobachter Entwurfsmuster
dt1,you killed!!! (Psychology Backdoor),du hast gemordet (Psychologische Hintertür)
dt2,warnen,Warnen
dt3,cAPI <parameter>,cAPI <Parameter>
dt4,you planted booby traps (Psychology Backdoor),du hast Cyber-Sprengfallen gepflanzt)
e1,[vacuum|electron] tube,Elektronen-Röhre
e2,cavity magnetron,Holraum Magnetron
e3,[tunnel|ESAKI] diode,Tunnel Diode
e4,antenna,Antenne
e5,multiple sensors,sensor array
e6,equation group [malware|built-in],equation group [malware|built-in]
endo1,endocrinology,Endokrinologie
env1,save energy,Energie sparen
env2,slums,Slums
env3,ad busting,ad busting
eye1,retina ccd,Augen Kamera
g1,le chuck,le chuck
g2,Guybrush Threepwood,Guybrush Treepwood
g3,Stan (M$ salesman),Stan (M$ Verkäufer)
g4,voodoo-lady,Voodoo Hexe
gp1,COEXIST,COEXIST
ha1,senior hacker,Senior Hacker
ibm1,vintage computing,alte Computer (doppelt)
ja1,worrier archetype 1,KriegerArchetyp 1
ja2,angle archetype,EngelArchetyp
ja3,wrong angle archetype,Falscher EngelArchetyp
ja4,worrier archetype 2,KriegerArchetyp 2
ja5,father archetype,VaterArchetyp (typo)
ja6,mother archetype,MutterArchetyp
ja7,child archetype,KindArchetyp
m1,ink blot test (fixation),Rorschachtest (Objektfixierung)
m2,cuddly toys (fixation),Kuscheltier (Objektfixierung)
m3,pottery crafts,Töpfern
m4,thrunky the elephant,RüsselElefant
m5,student dignity (scapegoat),Studentenwürde (Sündenbock)
m6,doctors dignity,Doktorwürde
m7,stick,Peitsche
m8,carrot,Zuckerbrot
m9,YOU are Schizophrenic,Du bist schizophren
m10,you ARE not INSANE,Du spinnst
m11,[mental|piagetian] operations,Model von Jean Piaget
m12,porn,Porno
m13,global warfare,Globale Kriegsführung
m14,world peace game,WeltFriedens Spiel
m15,limbic system vulnerability,Limbisches System Sicherheitslücke
m15-mod,limbic system vulnerability,Limbisches System Sicherheitslücke
m15-mod2,limbic system vulnerability part2,Limbisches System Sicherheitslücke Teil2
m16,scc bdsm, SaveSane Bondage Sado Masochism
m17,scheme of a childlike characteristics,Kindchenschema
m18,deleted scenes,gelöschte Szenen
m19,mental institution,Psychiatrie
m20,chains rattling,Kettenrasseln
m21,trauma based mind control,Traumabasiertes MindControl
m22,fixation (psychologie),Objektfixierung
m23,skeleton in the cupboard,Leiche im Keller
m24,morality,moral / wertesystem
m25,money,geld
m26,law article,gesetz(es) Artikel
m27,conspiracy theory,Verschwörungstheorie
m28,conspiracy,Verschwörung
m29,submissive pet,Unterwürfiges Haustier
m30,maslow's hierarchy of needs,Maslowsche Bedürfnispyramide
m31,pink unicorn pony,Rosa Einhorn Pony
m32,induced "self" injury,induizerte Selbstverletzung
m33,xxxxx,xxxxxx
m34,xxxxx,xxxxxx
m35,hypocrisy,hochmut
m36,xxxxx,xxxxxx
m37,mirror jury,SpiegelGericht
m38,Jus Primae Noctis Rape to gain access
m39,xxxxx,xxxxxx
m40,winning && arrogance,Gewinnen und Hochmut
m41,rapist terrorist,Vergewaltiger Terrorist
m41b,rapist terrorist (female),weiblicher Vergewaltiger Terrorist
m41c,winkelried (altruism),Winkelried (Altruismus)
m42,role toggler,Rolle tauschen Funktion
m43,military curt,MilitärGericht
m44,induced suicide,induzierter Suizid
m45,existential anxiety,Existenzangst
m46,induced and commited suicide,vollendeter induzierter Suizid
m47,ABDL,Adult Baby Diaper Lovers
m48,aversion archetype,AversionsArchetyp
m49,anti-psychotics (Part2),Psychopharmaka (Teil2)
m50,stanford prison "experiment",antagonizing [situation|medication]
m51,weapon (part1),Waffen (Teil1)
m52,weapon (part2),Waffen (Teil2)
m53,digital doomsday (fr-097),Digitales Jüngstes Gericht
m54,LRU algorithm,sollte MRU sein
m55,the speaker is lying,das Gegenüber lügt
m56,indimidation,Drohung
m57,fear detection,Furcht-Erkennung
m58,strapping psychiatric patients,Fixierbett
m59,symbol minded spirit,Symbolgesteuerter Geist
m60,location based [psychoTerror|PsyWar],ortsbasierter [Psychoterror|Psych.Kriegsführung]
m61,touring complete victim,touring vollständiges Opfer
m62,suicide death bot infection path,Suizid induzierende Software Infektionspfad
m63,induced avoidance behavior,induziertes Vermeidungsverhalten
m64,ways to and up in mental institutions,wie man in der Psychiarie landet
m65,mindcontrol,"GedankenKontrolle"
m66,apple-baum,verbotener Apfelbaum
m67,everything is good / you won,alles ist gut / du hast gewonnen
m68,separating one sheep from the herd,jagd auf ein einzelnes
m69,overload operators methods and symbols,Überladen von Operatoren
m70,SkinnerBox Part2 && Lehen (ger),Skinner-Box Part2 Lehen
m71,Rescuing pedophilia victims,Pädophilie Opfer retten
m72,age based access control,Altersbasierte Zugriffsrechte
m73,prostatae implant,Prostata Implantat
m74,escalation algorithm,Eskalations Algorithmu
m75,genius wanted (hopefully alive),Genie gesucht (hoffentlich lebend)
m76,principles of behavior,Prinizipien der Verhaltenstheorie
m77,faith detection,Vertrauen erkennen
m78,locked notes,blockierte schirftliche Notizen
m79,revictimize unfaithfulness,Untreue Revicitmizen
m80,maximum profit algorithm,Maximaler Ertrag Algorithmus
m81,dalayed voice + overlay with different person,verzögerte übermittlung und Fremdüberlagerung
m82,homeopatic devices against electromagnetic radiation,Esotherik Geräte
m83,"Pferd" zureiten,"Pferd" zureiten
m84,cyber fluorescent pen,Cyber-Leuchtstift
m85,cyber red pen,Cyber-Rotstift
m86,guilty conscience driven mind control (m23),Mindcontrol mittels schlechtem Gewissen (m23)
m87,spontaneous discharge,Spontane Entladung
m88,avoid big system-changes in little time,Grosse Systemänderung in kurzer Zeit vermeiden
m88b,bit system-changes in little time as weapon,Grosse Systemänderung in kurzer Zeit als Waffe
m89,security software and exploitation,Ausnutzen von Sicherheitssoftware
m90,drugs = fixation (psychology),Drogen/Medis = Objektfixierung
m91,project paperclip,Projekt Büroklammer
m92,optically discredit people,Optische Diskreditierung
m93,commit suicide <font color=red>jump now</font>,Suizid vergehen <font color=red>spring jetzt</font>
m94,induced depression,Induzierte Depression
m95,"Enlightenment" with drugs,Erleuchtung mit Drogen
m96,Twin Towers 9/11,Twin Towers
m97,[good|bad] gamification,[gute|schlechte] Gamification
m98,3D model of victims apartment,3D Modell der Wohung des Opfers
m99,3D model of victims body,3D Modell des Körpers des Opfers
m100,HACKER ETHics,Hacker Ethik
m101,second use case for RUP graphic,2. Anwendungsfall für RUP Grafik
m102,5 monkeys, 5 Affen
m103



